ID,Dataset_ID,ProblemDescription,Humanverified_SAScode,DataDescription,TaskDatasets,DatasetName
1,1,PD0001,SC0001,DD0001,DS0001,chisq.csv
2,1,PD0002,SC0002,DD0001,DS0001,chisq.csv
3,2,PD0003,SC0003,DD0002,DS0002,copper.csv
4,2,PD0004,SC0004,DD0002,DS0002,copper.csv
5,2,PD0005,SC0005,DD0002,DS0002,copper.csv
6,2,PD0006,SC0006,DD0002,DS0002,copper.csv
7,3,PD0007,SC0007,DD0003,DS0003,crack.csv
8,3,PD0008,SC0008,DD0003,DS0003,crack.csv
9,3,PD0009,SC0009,DD0003,DS0003,crack.csv
10,3,PD0010,SC0010,DD0003,DS0003,crack.csv
11,3,PD0011,SC0011,DD0003,DS0003,crack.csv
12,3,PD0012,SC0012,DD0003,DS0003,crack.csv
13,4,PD0013,SC0013,DD0004,DS0004,toxic.csv
14,4,PD0014,SC0014,DD0004,DS0004,toxic.csv
15,4,PD0015,SC0015,DD0004,DS0004,toxic.csv
16,4,PD0016,SC0016,DD0004,DS0004,toxic.csv
17,5,PD0017,SC0017,DD0005,DS0005,sleeptime.csv
18,5,PD0018,SC0018,DD0005,DS0005,sleeptime.csv
19,6,PD0019,SC0019,DD0006,DS0006,read.csv
20,7,PD0020,SC0020,DD0007,DS0007,response.csv
21,8,PD0021,SC0021,DD0008,DS0008,soil.csv
22,9,PD0022,SC0022,DD0009,DS0009,horse.csv
23,10,PD0023,SC0023,DD0010,DS0010,words.csv
24,10,PD0024,SC0024,DD0010,DS0010,words.csv
25,11,PD0025,SC0025,DD0011,DS0011,retention.csv
26,11,PD0026,SC0026,DD0011,DS0011,retention.csv
27,12,PD0027,SC0027,DD0012,DS0012,poplar.csv
28,13,PD0028,SC0028,DD0013,DS0013,race.csv
29,14,PD0029,SC0029,DD0014,DS0014,racecounts.csv
30,15,PD0030,SC0030,DD0015,DS0015,opinioncounts.csv
31,16,PD0031,SC0031,DD0016,DS0016,opinion.csv
32,17,PD0032,SC0032,DD0017,DS0017,ecmo.csv
33,18,PD0033,SC0033,DD0018,DS0018,athelete.csv
34,19,PD0034,SC0034,DD0019,DS0019,measurement.csv
35,19,PD0035,SC0035,DD0019,DS0019,measurement.csv
36,19,PD0036,SC0036,DD0019,DS0019,measurement.csv
37,23,PD0037,SC0037,DD0023,DS0023,marketing_data.csv
38,19,PD0038,SC0038,DD0019,DS0019,measurement.csv
39,19,PD0039,SC0039,DD0019,DS0019,measurement.csv
40,6,PD0040,SC0040,DD0006,DS0006,read.csv
41,20,PD0041,SC0041,DD0020,DS0020,Sashelp.shoes.csv
42,20,PD0042,SC0042,DD0020,DS0020,Sashelp.shoes.csv
43,20,PD0043,SC0043,DD0020,DS0020,Sashelp.shoes.csv
44,20,PD0044,SC0044,DD0020,DS0020,Sashelp.shoes.csv
45,20,PD0045,SC0045,DD0020,DS0020,Sashelp.shoes.csv
46,20,PD0046,SC0046,DD0020,DS0020,Sashelp.shoes.csv
47,20,PD0047,SC0047,DD0020,DS0020,Sashelp.shoes.csv
48,20,PD0048,SC0048,DD0020,DS0020,Sashelp.shoes.csv
49,20,PD0049,SC0049,DD0020,DS0020,Sashelp.shoes.csv
50,20,PD0050,SC0050,DD0020,DS0020,Sashelp.shoes.csv
51,20,PD0051,SC0051,DD0020,DS0020,Sashelp.shoes.csv
52,20,PD0052,SC0052,DD0020,DS0020,Sashelp.shoes.csv
53,20,PD0053,SC0053,DD0020,DS0020,Sashelp.shoes.csv
54,20,PD0054,SC0054,DD0020,DS0020,Sashelp.shoes.csv
55,21,PD0055,SC0055,DD0021,DS0021,Sashelp.Baseball.csv
56,21,PD0056,SC0056,DD0021,DS0021,Sashelp.Baseball.csv
57,21,PD0057,SC0057,DD0021,DS0021,Sashelp.Baseball.csv
58,21,PD0058,SC0058,DD0021,DS0021,Sashelp.Baseball.csv
59,22,PD0059,SC0059,DD0022,DS0022,Oxygen.csv
60,22,PD0060,SC0060,DD0022,DS0022,Oxygen.csv
61,24,PD0061,SC0061,DD0024,DS0024,imports.csv
62,26,PD0062,SC0062,DD0026,DS0026,glassid.csv
63,24,PD0063,SC0063,DD0024,DS0024,imports.csv
64,26,PD0064,SC0064,DD0026,DS0026,glassid.csv
65,26,PD0065,SC0065,DD0026,DS0026,glassid.csv
66,25,PD0066,SC0066,DD0025,DS0025,iron.csv
67,25,PD0067,SC0067,DD0025,DS0025,iron.csv
68,25,PD0068,SC0068,DD0025,DS0025,iron.csv
69,26,PD0069,SC0069,DD0026,DS0026,glassid.csv
70,26,PD0070,SC0070,DD0026,DS0026,glassid.csv
71,26,PD0071,SC0071,DD0026,DS0026,glassid.csv
72,26,PD0072,SC0072,DD0026,DS0026,glassid.csv
73,26,PD0073,SC0073,DD0026,DS0026,glassid.csv
74,26,PD0074,SC0074,DD0026,DS0026,glassid.csv
75,26,PD0075,SC0075,DD0026,DS0026,glassid.csv
76,26,PD0076,SC0076,DD0026,DS0026,glassid.csv
77,27,PD0077,SC0077,DD0027,DS0027,abalone.csv
78,27,PD0078,SC0078,DD0027,DS0027,abalone.csv
79,27,PD0079,SC0079,DD0027,DS0027,abalone.csv
80,27,PD0080,SC0080,DD0027,DS0027,abalone.csv
81,27,PD0081,SC0081,DD0027,DS0027,abalone.csv
82,27,PD0082,SC0082,DD0027,DS0027,abalone.csv
83,27,PD0083,SC0083,DD0027,DS0027,abalone.csv
84,27,PD0084,SC0084,DD0027,DS0027,abalone.csv
85,27,PD0085,SC0085,DD0027,DS0027,abalone.csv
86,42,PD0086,SC0086,DD0042,DS0042,measurement.csv
87,27,PD0087,SC0087,DD0027,DS0027,abalone.csv
88,27,PD0088,SC0088,DD0027,DS0027,abalone.csv
89,27,PD0089,SC0089,DD0027,DS0027,abalone.csv
90,27,PD0090,SC0090,DD0027,DS0027,abalone.csv
91,43,PD0091,SC0091,DD0043,DS0043,manova.csv
92,44,PD0092,SC0092,DD0044,DS0044,auto.csv
93,44,PD0093,SC0093,DD0044,DS0044,auto.csv
94,24,PD0094,SC0094,DD0024,DS0024,imports.csv
95,24,PD0095,SC0095,DD0024,DS0024,imports.csv
96,24,PD0096,SC0096,DD0024,DS0024,imports.csv
97,24,PD0097,SC0097,DD0024,DS0024,imports.csv
98,24,PD0098,SC0098,DD0024,DS0024,imports.csv
99,24,PD0099,SC0099,DD0024,DS0024,imports.csv
100,24,PD0100,SC0100,DD0024,DS0024,imports.csv
101,43,PD0101,SC0101,DD0043,DS0043,manova.csv
102,44,PD0102,SC0102,DD0044,DS0044,auto.csv
103,24,PD0103,SC0103,DD0024,DS0024,imports.csv
104,24,PD0104,SC0104,DD0024,DS0024,imports.csv
105,24,PD0105,SC0105,DD0024,DS0024,imports.csv
106,44,PD0106,SC0106,DD0044,DS0044,auto.csv
107,44,PD0107,SC0107,DD0044,DS0044,auto.csv
108,28,PD0108,SC0108,DD0028,DS0028,shopping.csv
109,29,PD0109,SC0109,DD0029,DS0029,est.csv
110,29,PD0110,SC0110,DD0029,DS0029,est.csv
111,30,PD0111,SC0111,DD0030,DS0030,hsb2.csv
112,30,PD0112,SC0112,DD0030,DS0030,hsb2.csv
113,30,PD0113,SC0113,DD0030,DS0030,hsb2.csv
114,30,PD0114,SC0114,DD0030,DS0030,hsb2.csv
115,30,PD0115,SC0115,DD0030,DS0030,hsb2.csv
116,30,PD0116,SC0116,DD0030,DS0030,hsb2.csv
117,30,PD0117,SC0117,DD0030,DS0030,hsb2.csv
118,31,PD0118,SC0118,DD0031,DS0031,art.csv
119,32,PD0119,SC0119,DD0032,DS0032,binary.csv
120,33,PD0120,SC0120,DD0033,DS0033,diabetic.csv
121,34,PD0121,SC0121,DD0034,DS0034,ACHE.csv
122,35,PD0122,SC0122,DD0035,DS0035,smoke.csv
123,36,PD0123,SC0123,DD0036,DS0036,FERT.csv
124,37,PD0124,SC0124,DD0037,DS0037,lettuce_brand.csv
125,37,PD0125,SC0125,DD0037,DS0037,lettuce_brand.csv
126,38,PD0126,SC0126,DD0038,DS0038,pulse_data.csv
127,39,PD0127,SC0127,DD0039,DS0039,Phospholipid.csv
128,40,PD0128,SC0128,DD0040,DS0040,Neuralgia.csv
129,41,PD0129,SC0129,DD0041,DS0041,elemapi.csv
130,41,PD0130,SC0130,DD0041,DS0041,elemapi.csv
131,41,PD0131,SC0131,DD0041,DS0041,elemapi.csv
132,42,PD0132,SC0132,DD0042,DS0042,measurement.csv
133,45,PD0133,SC0133,DD0045,DS0045,hernio.csv
134,46,PD0134,SC0134,DD0046,DS0046,hernio_uv.csv
135,46,PD0135,SC0135,DD0046,DS0046,hernio_uv.csv
136,47,PD0136,SC0136,DD0047,DS0047,elemapi2.csv
137,47,PD0137,SC0137,DD0047,DS0047,elemapi2.csv
138,48,PD0138,SC0138,DD0048,DS0048,pred.csv 
139,47,PD0139,SC0139,DD0047,DS0047,elemapi2.csv
140,49,PD0140,SC0140,DD0049,DS0049,binary.csv
141,49,PD0141,SC0141,DD0049,DS0049,binary.csv
142,50,PD0142,SC0142,DD0050,DS0050,crime.csv
143,51,PD0143,SC0143,DD0051,DS0051,t.csv
144,51,PD0144,SC0144,DD0051,DS0051,t.csv
145,51,PD0145,SC0145,DD0051,DS0051,t.csv
146,51,PD0146,SC0146,DD0051,DS0051,t.csv
147,52,PD0147,SC0147,DD0052,DS0052,t2.csv
148,52,PD0148,SC0148,DD0052,DS0052,t2.csv
149,52,PD0149,SC0149,DD0052,DS0052,t2.csv
150,52,PD0150,SC0150,DD0052,DS0052,t2.csv
151,53,PD0151,SC0151,DD0053,DS0053,t3.csv
152,53,PD0152,SC0152,DD0053,DS0053,t3.csv
153,54,PD0153,SC0153,DD0054,DS0054,Turbine.csv
154,55,PD0154,SC0154,DD0055,DS0055,sample2014.xlsx
155,55,PD0155,SC0155,DD0055,DS0055,sample2014.xlsx
156,55,PD0156,SC0156,DD0055,DS0055,sample2014.xlsx
157,55,PD0157,SC0157,DD0055,DS0055,sample2014.xlsx
158,55,PD0158,SC0158,DD0055,DS0055,sample2014.xlsx
159,56,PD0159,SC0159,DD0056,DS0056,baseball.csv
160,56,PD0160,SC0160,DD0056,DS0056,baseball.csv
161,56,PD0161,SC0161,DD0056,DS0056,baseball.csv
162,56,PD0162,SC0162,DD0056,DS0056,baseball.csv
163,56,PD0163,SC0163,DD0056,DS0056,baseball.csv
164,57,PD0164,SC0164,DD0057,DS0057,BPressure.csv
165,57,PD0165,SC0165,DD0057,DS0057,BPressure.csv
166,57,PD0166,SC0166,DD0057,DS0057,BPressure.csv
167,57,PD0167,SC0167,DD0057,DS0057,BPressure.csv
168,55,PD0168,SC0168,DD0055,DS0055,sample2014.xlsx
169,55,PD0169,SC0169,DD0055,DS0055,sample2014.xlsx
170,55,PD0170,SC0170,DD0055,DS0055,sample2014.xlsx
171,55,PD0171,SC0171,DD0055,DS0055,sample2014.xlsx
172,55,PD0172,SC0172,DD0055,DS0055,sample2014.xlsx
173,55,PD0173,SC0173,DD0055,DS0055,sample2014.xlsx
174,55,PD0174,SC0174,DD0055,DS0055,sample2014.xlsx
175,55,PD0175,SC0175,DD0055,DS0055,sample2014.xlsx
176,58,PD0176,SC0176,DD0058,DS0058,ART.csv
177,59,PD0177,SC0177,DD0059,DS0059,mvreg.csv
178,59,PD0178,SC0178,DD0059,DS0059,mvreg.csv
179,59,PD0179,SC0179,DD0059,DS0059,mvreg.csv
180,59,PD0180,SC0180,DD0059,DS0059,mvreg.csv
181,59,PD0181,SC0181,DD0059,DS0059,mvreg.csv
182,60,PD0182,SC0182,DD0060,DS0060,fitness.csv
183,60,PD0183,SC0183,DD0060,DS0060,fitness.csv
184,61,PD0184,SC0184,DD0061,DS0061,year_sales.csv
185,61,PD0185,SC0185,DD0061,DS0061,year_sales.csv
186,61,PD0186,SC0186,DD0061,DS0061,year_sales.csv
187,61,PD0187,SC0187,DD0061,DS0061,year_sales.csv
188,61,PD0188,SC0188,DD0061,DS0061,year_sales.csv
189,62,PD0189,SC0189,DD0062,DS0062,Test.csv
190,62,PD0190,SC0190,DD0062,DS0062,Test.csv
191,62,PD0191,SC0191,DD0062,DS0062,Test.csv
192,63,PD0192,SC0192,DD0063,DS0063,BMT.csv
193,63,PD0193,SC0193,DD0063,DS0063,BMT.csv
194,63,PD0194,SC0194,DD0063,DS0063,BMT.csv
195,63,PD0195,SC0195,DD0063,DS0063,BMT.csv
196,63,PD0196,SC0196,DD0063,DS0063,BMT.csv
197,63,PD0197,SC0197,DD0063,DS0063,BMT.csv
198,64,PD0198,SC0198,DD0064,DS0064,highlow.csv
199,64,PD0199,SC0199,DD0064,DS0064,highlow.csv
200,64,PD0200,SC0200,DD0064,DS0064,highlow.csv
201,64,PD0201,SC0201,DD0064,DS0064,highlow.csv
202,64,PD0202,SC0202,DD0064,DS0064,highlow.csv
203,64,PD0203,SC0203,DD0064,DS0064,highlow.csv
204,65,PD0204,SC0204,DD0065,DS0065,grades.csv
205,65,PD0205,SC0205,DD0065,DS0065,grades.csv
206,65,PD0206,SC0206,DD0065,DS0065,grades.csv
207,65,PD0207,SC0207,DD0065,DS0065,grades.csv